owner,project,sha,sha-p,main(sha),main(sha-p),main(diff)
BradLarson,GPUImage,6321801210d2e67bc9cdd468a279a9ae16e2a083,2f8e61c4ffcdfa93ee3d8f39f8110e61cfc3daf1,error,error,error
composer,composer,b750e70f5f516f6f7d47dbbd9681e487d2c2e37f,5292f2b402aee06d51856ccd74e03665f1dc8d67,error,error,error
josh,rails,d4d87941cbf4d8204c8d3ac6f4a87c29e42445b0,586a944ddd4d03e66dea1093306147594748037a,error,error,error
nextcloud,server,acd3c11e47212e3b9d59a914cea408637582bb06,4e327295c65b25fc5d6ceec5a8242eecf57b94e2,error,error,error
mantisbt,mantisbt,e4ccc3fd1aab62b6e3dbfbfdba3173f273815d02,61e90d0653f1532010a00eddb70609395a42ec6c,error,error,error
openssl,openssl,48f2ef8d004f1fa043238bd87b5976c53d278b80,80bd7b41b30af6ee96f519e629463583318de3b0,error,error,error
php,php-src,7bfb397338475056724b5e2d60f79d6d905df944,da400e7500e236a332b8104b373e60e842bbd63e,error,error,error
rubinius,rubinius,dfdf09474b5ef914979959a9bff2bc86b22fe053,0f2be377d10a9b878b404dcde5e437b69ca8edf6,error,error,error
josh,rails,0f2f8003d2351079ce6ec0e706e474d8024839cc,8a35865b747e0e96ae53e45997d6742f8f0ccfc3,error,error,error
josh,rails,80a2c9e5db33b85d0ad5867aa7b82c4b731e94d6,e759b5277e404cb0ca8353d0c6eba8a5c471af41,error,error,error
cakephp,cakephp,1ba6e2180ff3d3122b18e7525d336f70b435d6c6,d60191a1f6e396e94f63db43c41353a19d5dfda5,error,error,error
moodle,moodle,7e1e775fa4de0056ddfdb450a1f0b901e7c2469e,5fceb11e6c9025b374949b8b75c0cbd142bdbab8,error,error,error
grails,grails-core,14a99168d23c502324efcfe6bbfd55a24bd8441f,a5988e10e2f5229719b34b3c48cf395a066a3105,error,error,error
nginx,nginx-releases,a8b475b58878c540f5782b000ab513d38c524355,27294215f36bb3c0e2ed2f438f615efc2bc67260,error,error,error
josh,rails,3d08614826e18e005818c7685b9bc4cdc28f77af,9340f89849606dba02f44038171f3837f883fd4e,error,error,error
owncloud,core,d9e8ebabdcd99bade4201d6be82e1841d30c5d65,b0ecef02e905972bdd963ba03610e5c025a36e1b,error,error,error
moodle,moodle,d11f12f646b3ab139f6d183071916b09211fd9d2,3fdc6226970bd9da9d202ba9800b8ed2a2689075,error,error,error
edx,edx-platform,a06cc229a012fa7d6b93027233e1628d565edb95,2ba5d483fc46cf60dba99fb1122d36268cac8ee5,error,error,error
moodle,moodle,8827b67aeb36050c7c2d83d542a4ebc33d449880,a0bac19d81e04081cb2409110eb538adf3998c36,error,error,error
Graylog2,graylog2-server,59c3aaa285a524faba28adcf8f2381cc118fc05c,1e4ae741ef0a160630628cc9e1d31bfdbb581998,error,error,error
postgres,postgres,9c4eceb4e35e793b0ff882907755618371aecc8b,11cb598c397eaa18916c1a0f944f3ead05dab971,error,error,error
frappe,erpnext,d65a03d437f2eafecce61eaa833bcfe15de7cd6d,fcefc601e09507facd430594307979db65f42650,error,error,error
nextcloud,server,52669d0ea3d687b79a9ee04c6351e6793803ecb4,5c6a7172cafc395d38c58d1b5afd6b36efb33ad5,error,error,error
josh,rails,8758c6c6e31162b87ca6b9a43e7f2a91cc3ad2d3,3ddd7f7ec9b156e4b7de4c23d448c2db98f30504,error,error,error
FFmpeg,FFmpeg,cb14d30240b083939639c4be27f15877bf2876c8,b2a0a7fb8a3580897f2c9d8f2d160a5acab433e4,error,error,error
grails,grails-core,c2c5ef3b761fcfa59f1f8ee797ae5ad6f6902f75,ba77c1be24538d86dc21aedd4d9e19373ed13ffc,error,error,error
php,php-src,ecb9a94472ce658ab64cd9b818a8de6051d53c83,64043cb9e5d8bc5af719678893e38ee0290e0c0a,error,error,error
osTicket,osTicket,0ae7435fcbd356b437a0302da1a31a500fe7047d,03a84301e2e0e6875058814e877b7f7cffa33a98,error,error,error
naver,pinpoint,f6ec0eef10e2bd3d2dc4a49479b437d05d315699,b152cab0e88e736782435a41991ae305f2a39177,error,error,error
slimphp,Slim,36cdaa2f4ec4495cfa3a8cb2b354bc2b862903d3,20b09ca587b6f1215bb10ad39b92c2c540b2cd35,error,error,error
pfsense,pfsense,d04d8d428065d52506faa1c3f449ef951b0a0bde,daeab6c45370e05491ae60f854fb3b9967c6f94d,error,error,error
jspahrsummers,libextobjc,01a5c0372e4a14885916135997c846bf26b33348,821599787089f794228cc8bfac6a1b97c3e6227d,error,error,error
torvalds,linux,9407913fc16dde0e632b9639557422c6a792469d,2b666ca4a68cbc22483b0f2e1ba3c0e59b01ae9e,error,error,error
owncloud,core,40188c87a189a45a50e1d96acb222be0a67ab853,b0ecef02e905972bdd963ba03610e5c025a36e1b,error,error,error
openssl,openssl,55ac522068e616d8a4d1bd5590f3b2d08d4ba25c,a029788b0e0c19cee4007cc1f73201cf2c13addf,error,error,error
google,google-authenticator,815ec5a873228418948cda399fb44a61bb540e60,beb43d7baf22c0f9c0d0f87c1ce5473c41943d06,error,error,error
WordPress,WordPress,24b5a980c51bf33b659958f6859e01cb68e0df26,8772cbfa138d9e46d0fcb97aa0a2a0b15e8eb6d1,error,error,error
MPOS,php-mpos,c8f7163fa8c3d71f0c8dca6092f2c29333d610ee,795e019d0de3731fab71c98ab0487e84d6f7e952,error,error,error
unbit,uwsgi,8b7e93385b7176ade3de89fa31c44e9690fcee89,eb6c35aa95c231b788ce61b39766501519bd7657,error,error,error
nextcloud,server,0da06187f6b1006db67b5d34281fd51a56054d21,5c718b13b8c68fc89661edbdbd40822bb55f544a,error,error,error
mantisbt,mantisbt,3d685a6059f93e14af00ee0609cc7659eee7afa3,d9db796f8973696bb606dc03ce42857f6d160d78,error,error,error
cloudius-systems,osv,fb6887e8579c2609a61687dd0c63375cb7aa57c3,aff328352803b19294b4f8300bd0e20f0e1ba6b6,error,error,error
curl,curl,56bc31e9f9082e404ef813fb5a670f1f743b081d,ec9fa4f6b372e4e77fa741788e37a820bfa2ffc2,error,error,error
Graylog2,graylog2-server,442dba8fff106c8daca5539f029485e67ac08bdf,f1ab40d91f12dc9b1a50d633a21c5cd67c7aca36,error,error,error
pfsense,pfsense,378f989cdc07a61bc1a8c2964c249922a416f51c,dd34d7d239d823921237c4408559e674f5f0c292,error,error,error
mantisbt,mantisbt,df0055378c7dbe5f3c099f91043705b3d00ac84c,60a4d24a794a81e98dc044ce42a9e4b8fa754111,error,error,error
josh,rails,88b17d22c836b948bfd580cbb2da590ea10a658c,9a73630d935e360f3dc896e50dd673afb97cf3b5,error,error,error
mantisbt,mantisbt,dca6b33a95d8bb610a1585bba5605164f8460f0c,fe9da540f09fe4d3473a302446c4a1ea11ebf103,error,error,error
josh,rails,d200d080041bc4cefba8a8d39943b233ee2630a0,bd97c3044a7b135f5b84f38c3dbdce2ccc793f70,error,error,error
cloudius-systems,osv,6f464e76cf5dd2c3fbb6b7ea84d00e21ee88cdbf,6e438d21fe85ad73c6d9f4b3eae11e39a8d87643,error,error,error
dlitz,pycrypto,1b309c67633759a5449cbdb38d18f86c861b53c6,abd276c5fa31abf0b1d70ca4624e30cdacaee867,error,error,error
php,php-src,3b24a795a6a1f603f8616914efe9099de46639e2,3e88d610e54dac75a374af9e8501f02da67e4466,error,error,error
torvalds,linux,63eb6b93ce725e4c5f38fc85dd703d49465b03cb,c935a331c8f569c7903ed26a3994a70cbea1802e,error,error,error
torvalds,linux,c3136f5540b62f7a0ada3cbbd7345889a4879f23,3d1bec99320d4e96897805440f8cf4f68eff226b,error,error,error
mantisbt,mantisbt,1f515b3ac3f02e08bc8c0993d24dbab5da416a0f,75c87e679a3f7f9195c62d92cf02a64d80fc5288,error,error,error
spring-projects,spring-security-oauth,be0f0768f98d27205140d29a962ba83d6cd7a3fc,0da337aef2979db848bc2e091a2b2a206412c62c,error,error,error
WordPress,WordPress,3dce6ba3fec2fde526c1de5957b85cf4fcf168d9,19848b9d90b63469d3c70b7e79400d10795601d0,error,error,error
torvalds,linux,4bae02dd65b475ff7a3097ce028b9e5efbbdf891,f341dddf1dadf64be309791f83d7904245f1261d,error,error,error
curl,curl,630995f40a799b6fbd7ae9cb063ea021c701e91d,ee57e9dea63c3706c3679ff77426680bc1a327bf,error,error,error
Graylog2,graylog2-server,ba47e7e4035345183cbd997ff16e4b525f5f453e,4dd9c321314c10c5427888a145b242da8ac0c08d,error,error,error
mantisbt,mantisbt,cad2b3303b5abf40f126b91568d1d0c17613c9b5,b66af6d2ed9883c04e71ef132a3b36837f91fc62,error,error,error
unbit,uwsgi,856fd8b00fd81de165f9c84596ac7b5fa6e5070b,a559e9ea631afa9331cba77d3f1634611a6aa4ab,error,error,error
osTicket,osTicket,c74f66416a391aa2a6368c025b14aeaba730339e,ecb9178f24f5dd1ddbba06776d0f583a42ba2998,error,error,error
vanilla,vanilla,d0e0c884f57063e6623d7cb14d5eda21218122e4,025156c900c7d72ab9811568accc7a49dba2ecc8,error,error,error
vanilla,vanilla,70788e6797b00688e0f263bac52be2bc7b90584e,920486d61221779f4010f39657a91ab3825b4d36,error,error,error
mongodb,mongo-php-driver-legacy,8e66232375c5b23debb8171d2aae515fc2158b09,3705a32fcb655d728fee7dd358a0762e0531134d,error,error,error
mantisbt,mantisbt,28e902c2bfff6a9719e51df532fcfba09465f352,ecef0e9b523a460709e8feedfce72f05bb30b992,error,error,error
php,php-src,e3d25e78eb73c7b7bce0cd175578f7ce32741c5f,94742054a845f483b4d59ac28fa65ee029dc3c92,error,error,error
php,php-src,b798b366c8debdcdf1071d97a428ac86a7470f18,4b14c11dcd4d27519b9c03d7acf638f9bface169,error,error,error
stevedekorte,io,9f00950fc102ac184c5da51fb8848e5f3414221f,9f4ff16cf02dfe042fee26d7bee44942100a943e,error,error,error
splitbrain,dokuwiki,8249bc69100c383d6c9413d922c671d6bd1c4c48,41c27d5a7c577979cacd974b3763904192487637,error,error,error
MPOS,php-mpos,7b41a75f921237fa3eb4f5d8413349e4d98b373c,e5c97201741671a45bae2334eec49739c7495f59,error,error,error
php,php-src,c0b49a701a74f9be1f99f79c4334d4aecdf1f1c6,5d07438cb3d72b7d6d3675cdccf5eef361e6e591,error,error,error
nextcloud,server,df0e72d8d9485a08d6d60261538d9d5a63aa266e,e5d78a35231d1412aa7427f061aacdf73d92a796,error,error,error
josh,rails,e3623bd9ed71e289078cefad4204f38d2fdf9188,0ee1cb2cd32bfaf47deaf5440dd5b9cf0915ab6a,error,error,error
realm,realm-cocoa,67e396d5511604a8b2793ad9a314db5e1cbd6d73,9a623ef0e43e8f0bcd829393e1737f4b6de82e71,error,error,error
naver,pinpoint,83f4e1dc9b870635f5286f66223c340ac3028a12,a3911e078b58ed029c7944a5e65e1daa050fa2e0,error,error,error
vanilla,vanilla,20d648b1f29358daf2e1211ef85827fdb224060d,0a22506c76ac419d390d5d1bde5ec5f48b195358,error,error,error
curl,curl,07b9826541ec429433495d237301d59a5d8bfd22,a9cd4f4ed49e1a0b79f8fc6a0cb129331fa04f23,error,error,error
curl,curl,7e46061cac2ba460c337d9ec89e06c32a5e97d99,716302c2cd59f96ecd96f949db92576d204cabae,error,error,error
josh,rails,817e37013610c8e8866197594d5e408b4d5daec5,d3bbb23b2fdc6f597410e83e604d4919174aaa27,error,error,error
scalikejdbc,scalikejdbc,ea6ff980300f18f1fefa36307652fecd5b65f2dc,0066d580d8ab21d252310bd0206fa62effa6137b,error,error,error
